1630414245.4331026,53.0,724.0
1630414246.151475,747.0,753.0,727.0
1630414246.4989371,759.0,754.0,726.0
1630414246.726433,758.0,754.0,727.0
1630414246.9306529,755.0,754.0,726.0
1630414249.1757329,758.0,151.0,726.0
1630414249.486774,755.0,302.0,727.0
1630414249.7982957,752.0,453.0,727.0
1630414250.1094563,752.0,603.0,727.0
1630414250.4208426,755.0,754.0,725.0
1630414250.7360911,756.0,754.0,726.0
1630414251.0473106,753.0,753.0,727.0
1630414251.3586884,755.0,754.0,727.0
1630414251.8147388,753.0,754.0,728.0
1630414252.041923,753.0,754.0,729.0
1630414252.2923102,757.0,754.0,729.0
1630414252.6038136,755.0,754.0,726.0
1630414252.9151335,751.0,753.0,726.0
1630414253.2264879,753.0,753.0,726.0
1630414253.5376413,755.0,754.0,727.0
1630414253.8491054,755.0,753.0,726.0
1630414254.1642983,761.0,755.0,726.0
1630414254.475613,757.0,756.0,727.0
1630414254.786813,759.0,757.0,727.0
1630414255.098086,748.0,756.0,727.0
1630414255.4092371,752.0,755.0,725.0
1630414255.7205894,755.0,754.0,728.0
1630414256.0320246,757.0,754.0,729.0
1630414256.3432684,755.0,753.0,731.0
1630414256.6544888,755.0,754.0,727.0
1630414256.9657252,754.0,755.0,726.0
1630414257.2768636,751.0,754.0,727.0
